SQLDATE,date,Actor1Name,Actor1CountryCode,EventCode,EventLabel,QuadClass,GoldsteinScale,NumMentions,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,SourceDomain,GKG_Themes,GKG_Persons,GKG_Organizations,GKG_Locations,GKG_V2Tone,GKG_SharingImage,GKG_DocId,QuadLabel,IsConflict,IsNegative,MediaWeight,IsNorthBenin,ZoneBenin,DepartementBenin,SourceRegion,GoldsteinNorm,ToneNorm,month,ToneCategory,GoldsteinBin
20250827,2025-08-27,ONG,BN,040,Consultation diplomatique,1,1.92,3,2,-1.24,Abomey-Calavi,6.4484,2.3552,24haubenin.com,CORRUPTION;RELIGION,,FMI;Union Africaine,"Abomey-Calavi, Benin","-1.24,0.0,1.24,1.24,1.0,624",,20250827000000-24haubenin_com-BN-00268,Cooperation verbale,0,1,6,0,Sud,Atlantique,Benin,0.596,0.469,2025-08,Neutre,Neutre
20250422,2025-04-22,Militaire,BN,036,Critique politique,1,-0.13,1,5,-1.02,Bohicon,7.1824,2.066,matinlibre.com,HUMAN_RIGHTS;DEVELOPMENT;CORRUPTION;TERRORISM,,,"Bohicon, Benin","-1.02,0.0,1.02,1.02,1.12,456",,20250422000000-matinlibre_com-BN-00269,Cooperation verbale,0,1,5,0,Centre,Zou,Benin,0.4935,0.4745,2025-04,Neutre,Leg. negatif
20250816,2025-08-16,Parti politique,BN,130,Protestation,3,1.95,5,3,-8.54,Porto-Novo,6.4969,2.6289,beninwebtv.com,EDUCATION;POLITICAL_VIOLENCE;CORRUPTION,,,"Porto-Novo, Benin","-8.54,0.0,8.54,8.54,1.77,185",https://www.rfi.fr/img/placeholder.jpg,20250816000000-beninwebtv_com-BN-00270,Conflit verbal,1,1,15,0,Sud,Oueme,Benin,0.5975,0.2865,2025-08,Tres negatif,Neutre
20250117,2025-01-17,Gouvernement,BN,130,Protestation,3,-4.48,7,1,-1.91,Cotonou,6.3654,2.4183,24haubenin.com,TERRORISM;RELIGION;DEVELOPMENT,Mahamadou Issoufou,FMI;ONU;Gouvernement Beninois,"Cotonou, Benin","-1.91,0.0,1.91,1.91,1.22,724",,20250117000000-24haubenin_com-BN-00271,Conflit verbal,1,1,7,0,Sud,Littoral,Benin,0.276,0.4522,2025-01,Neutre,Destabilisant
20250314,2025-03-14,Parti politique,BN,140,Refus cooperation,3,-3.15,4,5,-1.96,Cotonou,6.3654,2.4183,bbc.com,,Paul Biya,Gouvernement Beninois,"Cotonou, Benin","-1.96,0.0,1.96,1.96,0.08,494",,20250314000000-bbc_com-BN-00272,Conflit verbal,1,1,20,0,Sud,Littoral,International,0.3425,0.451,2025-03,Neutre,Destabilisant
20250112,2025-01-12,Diplomate,BN,145,Manifestation/revolte,4,-1.33,20,2,-0.63,Abomey-Calavi,6.4484,2.3552,lanouvelletribune.bj,CORRUPTION;DEVELOPMENT;DIPLOMACY,Patrice Talon,UNICEF;ONU,"Abomey-Calavi, Benin","-0.63,0.0,0.63,0.63,0.31,548",,20250112000000-lanouvelletribune_bj-BN-00273,Conflit materiel,1,1,40,0,Sud,Atlantique,Benin,0.4335,0.4842,2025-01,Neutre,Leg. negatif
20250327,2025-03-27,Gouvernement,BN,060,Cooperation materielle,2,1.59,6,2,3.11,Parakou,9.337,2.6282,fraternite.bj,HEALTH;TERRORISM;RELIGION;MILITARY,Mahamadou Issoufou;Paul Biya,Banque Mondiale;Union Africaine,"Parakou, Benin","3.11,3.11,0.0,3.11,1.2,106",,20250327000000-fraternite_bj-BN-00274,Cooperation materielle,0,0,12,1,Nord,Borgou,Benin,0.5795,0.5778,2025-03,Positif,Neutre
20250629,2025-06-29,Gouvernement,GH,060,Cooperation materielle,2,1.81,9,3,-0.78,Natitingou,10.3081,1.3784,bbc.com,EDUCATION,Paul Biya;Mahamadou Issoufou,OMS;UNICEF;ONU,"Natitingou, Benin","-0.78,0.0,0.78,0.78,0.52,695",https://www.rfi.fr/img/placeholder.jpg,20250629000000-bbc_com-BN-00275,Cooperation materielle,0,1,27,1,Nord,Atacora,International,0.5905,0.4805,2025-06,Neutre,Neutre
20250502,2025-05-02,ONG,US,120,Menace,3,-3.77,5,5,-7.3,Parakou,9.337,2.6282,bbc.com,DEMOCRACY;PROTEST;DEVELOPMENT,Thomas Boni Yayi,OMS;PNUD,"Parakou, Benin","-7.3,0.0,7.3,7.3,1.54,267",,20250502000000-bbc_com-BN-00276,Conflit verbal,1,1,25,1,Nord,Borgou,International,0.3115,0.3175,2025-05,Tres negatif,Destabilisant
20250723,2025-07-23,Parti politique,BN,100,Demande,1,4.52,9,4,2.68,Porto-Novo,6.4969,2.6289,fraternite.bj,ENVIRONMENT;MILITARY;POLITICAL_VIOLENCE;CORRUPTION,Alassane Ouattara;Abdoulaye Bio Tchane,,"Porto-Novo, Benin","2.68,2.68,0.0,2.68,0.93,430",,20250723000000-fraternite_bj-BN-00277,Cooperation verbale,0,0,36,0,Sud,Oueme,Benin,0.726,0.567,2025-07,Positif,Stabilisant
20250311,2025-03-11,ONG,NG,110,Rejet/opposition,3,-0.06,18,1,-4.85,Porto-Novo,6.4969,2.6289,matinlibre.com,DEMOCRACY;HEALTH,Mahamadou Issoufou,ONU,"Porto-Novo, Benin","-4.85,0.0,4.85,4.85,0.84,595",,20250311000000-matinlibre_com-BN-00278,Conflit verbal,1,1,18,0,Sud,Oueme,Benin,0.497,0.3788,2025-03,Negatif,Leg. negatif
20250418,2025-04-18,Parti politique,US,120,Menace,3,-2.74,5,3,-2.15,Cotonou,6.3654,2.4183,beninwebtv.com,,Mahamadou Issoufou;Abdoulaye Bio Tchane,Union Africaine;FMI;UNICEF,"Cotonou, Benin","-2.15,0.0,2.15,2.15,1.92,634",,20250418000000-beninwebtv_com-BN-00279,Conflit verbal,1,1,15,0,Sud,Littoral,Benin,0.363,0.4462,2025-04,Negatif,Leg. negatif
20250720,2025-07-20,Gouvernement,BN,140,Refus cooperation,3,-2.15,11,5,-4.48,Porto-Novo,6.4969,2.6289,fraternite.bj,DEVELOPMENT,Mahamadou Issoufou,OMS,"Porto-Novo, Benin","-4.48,0.0,4.48,4.48,0.78,285",,20250720000000-fraternite_bj-BN-00280,Conflit verbal,1,1,55,0,Sud,Oueme,Benin,0.3925,0.388,2025-07,Negatif,Leg. negatif
20250221,2025-02-21,Medias,BN,040,Consultation diplomatique,1,-0.01,8,5,1.07,Malanville,11.8683,3.3836,bbc.com,DEVELOPMENT,Macky Sall,CEDEAO;FMI,"Malanville, Benin","1.07,1.07,0.0,1.07,0.76,568",https://www.rfi.fr/img/placeholder.jpg,20250221000000-bbc_com-BN-00281,Cooperation verbale,0,0,40,1,Nord,Alibori,International,0.4995,0.5268,2025-02,Neutre,Leg. negatif
20250206,2025-02-06,Police,BN,040,Consultation diplomatique,1,4.14,14,5,3.21,Ouidah,6.36,2.0852,rfi.fr,DEVELOPMENT;MILITARY,Abdoulaye Bio Tchane,OMS;Gouvernement Beninois,"Ouidah, Benin","3.21,3.21,0.0,3.21,0.54,644",https://www.bbc.com/img/default.jpg,20250206000000-rfi_fr-BN-00282,Cooperation verbale,0,0,70,0,Sud,Atlantique,International,0.707,0.5802,2025-02,Positif,Stabilisant
20250427,2025-04-27,Militaire,NG,010,Declaration publique,1,0.98,10,1,3.89,Porto-Novo,6.4969,2.6289,lanouvelletribune.bj,TERRORISM;HUMAN_RIGHTS;CORRUPTION;POLITICAL_VIOLENCE,,,"Porto-Novo, Benin","3.89,3.89,0.0,3.89,1.57,610",,20250427000000-lanouvelletribune_bj-BN-00283,Cooperation verbale,0,0,10,0,Sud,Oueme,Benin,0.549,0.5973,2025-04,Positif,Neutre
20250916,2025-09-16,Medias,BN,070,Aide/assistance,2,1.6,21,1,2.28,Abomey-Calavi,6.4484,2.3552,beninwebtv.com,HEALTH;ELECTIONS;PROTEST,Thomas Boni Yayi,,"Abomey-Calavi, Benin","2.28,2.28,0.0,2.28,0.95,134",,20250916000000-beninwebtv_com-BN-00284,Cooperation materielle,0,0,21,0,Sud,Atlantique,Benin,0.58,0.557,2025-09,Positif,Neutre
20250921,2025-09-21,Parti politique,BN,010,Declaration publique,1,0.15,3,5,0.8,Lokossa,6.6392,1.7153,matinlibre.com,,,CEDEAO;Banque Mondiale;OMS,"Lokossa, Benin","0.8,0.8,0.0,0.8,1.17,217",https://www.bbc.com/img/default.jpg,20250921000000-matinlibre_com-BN-00285,Cooperation verbale,0,0,15,0,Sud,Mono,Benin,0.5075,0.52,2025-09,Neutre,Neutre
20251030,2025-10-30,Diplomate,BN,050,Appel cooperation,1,-0.17,10,2,-0.02,Porto-Novo,6.4969,2.6289,24haubenin.com,RELIGION;DEMOCRACY;MILITARY,,UNICEF,"Porto-Novo, Benin","-0.02,0.0,0.02,0.02,0.29,278",,20251030000000-24haubenin_com-BN-00286,Cooperation verbale,0,1,20,0,Sud,Oueme,Benin,0.4915,0.4995,2025-10,Neutre,Leg. negatif
20250305,2025-03-05,Gouvernement,BN,060,Cooperation materielle,2,-2.99,13,5,1.36,Cotonou,6.3654,2.4183,bbc.com,,Lionel Zinsou,Union Africaine,"Cotonou, Benin","1.36,1.36,0.0,1.36,1.34,566",,20250305000000-bbc_com-BN-00287,Cooperation materielle,0,0,65,0,Sud,Littoral,International,0.3505,0.534,2025-03,Neutre,Leg. negatif
20250211,2025-02-11,Parti politique,BN,036,Critique politique,1,1.27,16,2,1.44,Cotonou,6.3654,2.4183,24haubenin.com,,Alassane Ouattara;Patrice Talon,ONU;Union Africaine,"Cotonou, Benin","1.44,1.44,0.0,1.44,0.44,254",https://www.bbc.com/img/default.jpg,20250211000000-24haubenin_com-BN-00288,Cooperation verbale,0,0,32,0,Sud,Littoral,Benin,0.5635,0.536,2025-02,Neutre,Neutre
20250212,2025-02-12,Medias,BN,070,Aide/assistance,2,2.93,2,2,4.99,Parakou,9.337,2.6282,fraternite.bj,RELIGION,,,"Parakou, Benin","4.99,4.99,0.0,4.99,1.82,465",https://www.rfi.fr/img/placeholder.jpg,20250212000000-fraternite_bj-BN-00289,Cooperation materielle,0,0,4,1,Nord,Borgou,Benin,0.6465,0.6248,2025-02,Positif,Neutre
20250505,2025-05-05,Gouvernement,US,010,Declaration publique,1,2.49,11,3,5.8,Djougou,9.7082,1.6599,beninwebtv.com,ECONOMY;ELECTIONS;HUMAN_RIGHTS,Mahamadou Issoufou;Lionel Zinsou,Assemblee Nationale;Gouvernement Beninois;Banque Mondiale,"Djougou, Benin","5.8,5.8,0.0,5.8,1.84,442",,20250505000000-beninwebtv_com-BN-00290,Cooperation verbale,0,0,33,1,Nord,Donga,Benin,0.6245,0.645,2025-05,Tres positif,Neutre
20250927,2025-09-27,Citoyen,BN,010,Declaration publique,1,0.34,6,10,6.33,Bohicon,7.1824,2.066,bbc.com,HUMAN_RIGHTS,Abdoulaye Bio Tchane;Mahamadou Issoufou,,"Bohicon, Benin","6.33,6.33,0.0,6.33,0.03,508",https://www.bbc.com/img/default.jpg,20250927000000-bbc_com-BN-00291,Cooperation verbale,0,0,60,0,Centre,Zou,International,0.517,0.6582,2025-09,Tres positif,Neutre
20251213,2025-12-13,Syndicat,BN,130,Protestation,3,0.73,3,3,-1.53,Cotonou,6.3654,2.4183,matinlibre.com,HEALTH,Patrice Talon,CEDEAO;Banque Mondiale,"Cotonou, Benin","-1.53,0.0,1.53,1.53,1.66,173",https://www.bbc.com/img/default.jpg,20251213000000-matinlibre_com-BN-00292,Conflit verbal,1,1,9,0,Sud,Littoral,Benin,0.5365,0.4618,2025-12,Neutre,Neutre
20250821,2025-08-21,Medias,BN,040,Consultation diplomatique,1,1.25,7,14,4.42,Cotonou,6.3654,2.4183,apanews.net,POLITICAL_VIOLENCE;MILITARY;ECONOMY;CORRUPTION,,Union Africaine,"Cotonou, Benin","4.42,4.42,0.0,4.42,0.44,317",https://www.bbc.com/img/default.jpg,20250821000000-apanews_net-BN-00293,Cooperation verbale,0,0,98,0,Sud,Littoral,Afrique,0.5625,0.6105,2025-08,Positif,Neutre
20250512,2025-05-12,Gouvernement,BN,020,Appel action,1,-0.66,14,5,2.5,Natitingou,10.3081,1.3784,rfi.fr,DIPLOMACY,Lionel Zinsou,OMS;Assemblee Nationale;UNICEF,"Natitingou, Benin","2.5,2.5,0.0,2.5,1.58,710",https://www.bbc.com/img/default.jpg,20250512000000-rfi_fr-BN-00294,Cooperation verbale,0,0,70,1,Nord,Atacora,International,0.467,0.5625,2025-05,Positif,Leg. negatif
20250102,2025-01-02,Gouvernement,BN,060,Cooperation materielle,2,0.46,1,3,-0.9,Lokossa,6.6392,1.7153,matinlibre.com,HUMAN_RIGHTS,Patrice Talon;Abdoulaye Bio Tchane,OMS,"Lokossa, Benin","-0.9,0.0,0.9,0.9,1.17,757",,20250102000000-matinlibre_com-BN-00295,Cooperation materielle,0,1,3,0,Sud,Mono,Benin,0.523,0.4775,2025-01,Neutre,Neutre
20250425,2025-04-25,ONG,GH,120,Menace,3,-4.44,11,2,-4.06,Abomey-Calavi,6.4484,2.3552,24haubenin.com,CORRUPTION,Thomas Boni Yayi;Lionel Zinsou,UNICEF;Assemblee Nationale;Union Africaine,"Abomey-Calavi, Benin","-4.06,0.0,4.06,4.06,1.27,186",,20250425000000-24haubenin_com-BN-00296,Conflit verbal,1,1,22,0,Sud,Atlantique,Benin,0.278,0.3985,2025-04,Negatif,Destabilisant
20250101,2025-01-01,Parti politique,BN,036,Critique politique,1,0.26,14,3,0.99,Abomey-Calavi,6.4484,2.3552,rfi.fr,,Paul Biya;Lionel Zinsou,PNUD;Union Africaine,"Abomey-Calavi, Benin","0.99,0.99,0.0,0.99,1.91,635",,20250101000000-rfi_fr-BN-00297,Cooperation verbale,0,0,42,0,Sud,Atlantique,International,0.513,0.5247,2025-01,Neutre,Neutre
20251127,2025-11-27,Gouvernement,BN,100,Demande,1,4.57,11,4,1.44,Cotonou,6.3654,2.4183,24haubenin.com,DEMOCRACY;PROTEST,,UNICEF,"Cotonou, Benin","1.44,1.44,0.0,1.44,1.11,612",https://www.bbc.com/img/default.jpg,20251127000000-24haubenin_com-BN-00298,Cooperation verbale,0,0,44,0,Sud,Littoral,Benin,0.7285,0.536,2025-11,Neutre,Stabilisant
20250306,2025-03-06,Militaire,NG,010,Declaration publique,1,-0.09,2,9,-0.44,Lokossa,6.6392,1.7153,beninwebtv.com,ELECTIONS;EDUCATION;MILITARY;PROTEST,,Banque Mondiale;PNUD;Union Africaine,"Lokossa, Benin","-0.44,0.0,0.44,0.44,1.06,333",,20250306000000-beninwebtv_com-BN-00299,Cooperation verbale,0,1,18,0,Sud,Mono,Benin,0.4955,0.489,2025-03,Neutre,Leg. negatif
20250505,2025-05-05,Police,BN,010,Declaration publique,1,0.79,10,3,4.89,Kandi,11.1342,2.9394,rfi.fr,EDUCATION;CORRUPTION;HEALTH,,Union Africaine,"Kandi, Benin","4.89,4.89,0.0,4.89,1.99,116",,20250505000000-rfi_fr-BN-00300,Cooperation verbale,0,0,30,1,Nord,Alibori,International,0.5395,0.6222,2025-05,Positif,Neutre
20250913,2025-09-13,Medias,BN,060,Cooperation materielle,2,3.7,26,2,5.52,Cotonou,6.3654,2.4183,fraternite.bj,ELECTIONS;ENVIRONMENT;RELIGION,Mahamadou Issoufou;Macky Sall,Gouvernement Beninois;UNICEF;FMI,"Cotonou, Benin","5.52,5.52,0.0,5.52,1.69,334",,20250913000000-fraternite_bj-BN-00301,Cooperation materielle,0,0,52,0,Sud,Littoral,Benin,0.685,0.638,2025-09,Tres positif,Stabilisant
20251118,2025-11-18,Citoyen,GH,060,Cooperation materielle,2,3.38,34,4,1.33,Bohicon,7.1824,2.066,fraternite.bj,MILITARY;RELIGION,Lionel Zinsou,,"Bohicon, Benin","1.33,1.33,0.0,1.33,1.2,496",,20251118000000-fraternite_bj-BN-00302,Cooperation materielle,0,0,136,0,Centre,Zou,Benin,0.669,0.5332,2025-11,Neutre,Stabilisant
20250523,2025-05-23,Gouvernement,BN,100,Demande,1,3.03,3,10,5.63,Cotonou,6.3654,2.4183,bbc.com,HUMAN_RIGHTS;HEALTH,Macky Sall,Assemblee Nationale;UNICEF,"Cotonou, Benin","5.63,5.63,0.0,5.63,1.6,420",https://www.bbc.com/img/default.jpg,20250523000000-bbc_com-BN-00303,Cooperation verbale,0,0,30,0,Sud,Littoral,International,0.6515,0.6407,2025-05,Tres positif,Stabilisant
20251124,2025-11-24,Gouvernement,BN,110,Rejet/opposition,3,-3.97,4,2,-3.47,Cotonou,6.3654,2.4183,24haubenin.com,,,UNICEF;Gouvernement Beninois;ONU,"Cotonou, Benin","-3.47,0.0,3.47,3.47,1.89,332",,20251124000000-24haubenin_com-BN-00304,Conflit verbal,1,1,8,0,Sud,Littoral,Benin,0.3015,0.4132,2025-11,Negatif,Destabilisant
20250903,2025-09-03,Medias,GH,180,Attaque,4,-4.0,8,4,-5.53,Cotonou,6.3654,2.4183,24haubenin.com,DEVELOPMENT;DIPLOMACY;ENVIRONMENT,Alassane Ouattara;Paul Biya,CEDEAO;ONU,"Cotonou, Benin","-5.53,0.0,5.53,5.53,0.76,602",,20250903000000-24haubenin_com-BN-00305,Conflit materiel,1,1,32,0,Sud,Littoral,Benin,0.3,0.3617,2025-09,Tres negatif,Destabilisant
20250426,2025-04-26,Medias,BN,060,Cooperation materielle,2,3.58,7,1,-3.28,Cotonou,6.3654,2.4183,24haubenin.com,POLITICAL_VIOLENCE;DIPLOMACY;PROTEST,,Gouvernement Beninois;FMI,"Cotonou, Benin","-3.28,0.0,3.28,3.28,0.14,528",,20250426000000-24haubenin_com-BN-00306,Cooperation materielle,0,1,7,0,Sud,Littoral,Benin,0.679,0.418,2025-04,Negatif,Stabilisant
20251030,2025-10-30,Gouvernement,BN,040,Consultation diplomatique,1,2.88,6,3,2.65,Porto-Novo,6.4969,2.6289,24haubenin.com,TERRORISM,Patrice Talon;Macky Sall,Union Africaine;PNUD,"Porto-Novo, Benin","2.65,2.65,0.0,2.65,0.59,459",,20251030000000-24haubenin_com-BN-00307,Cooperation verbale,0,0,18,0,Sud,Oueme,Benin,0.644,0.5662,2025-10,Positif,Neutre
20250331,2025-03-31,Institution internationale,BN,120,Menace,3,-3.09,11,2,1.03,Porto-Novo,6.4969,2.6289,24haubenin.com,TERRORISM;POLITICAL_VIOLENCE;ELECTIONS,,OMS;UNICEF;Gouvernement Beninois,"Porto-Novo, Benin","1.03,1.03,0.0,1.03,1.13,238",,20250331000000-24haubenin_com-BN-00308,Conflit verbal,1,0,22,0,Sud,Oueme,Benin,0.3455,0.5258,2025-03,Neutre,Destabilisant
20251023,2025-10-23,Parti politique,BN,036,Critique politique,1,3.15,16,3,-0.53,Parakou,9.337,2.6282,beninwebtv.com,PROTEST,Lionel Zinsou;Patrice Talon,,"Parakou, Benin","-0.53,0.0,0.53,0.53,1.33,527",,20251023000000-beninwebtv_com-BN-00309,Cooperation verbale,0,1,48,1,Nord,Borgou,Benin,0.6575,0.4868,2025-10,Neutre,Stabilisant
20250211,2025-02-11,Parti politique,BN,050,Appel cooperation,1,1.85,10,1,2.89,Parakou,9.337,2.6282,rfi.fr,,Thomas Boni Yayi,Assemblee Nationale,"Parakou, Benin","2.89,2.89,0.0,2.89,1.87,174",https://www.bbc.com/img/default.jpg,20250211000000-rfi_fr-BN-00310,Cooperation verbale,0,0,10,1,Nord,Borgou,International,0.5925,0.5722,2025-02,Positif,Neutre
20250204,2025-02-04,Militaire,BN,010,Declaration publique,1,2.81,3,5,7.27,Cotonou,6.3654,2.4183,apanews.net,EDUCATION,,Banque Mondiale,"Cotonou, Benin","7.27,7.27,0.0,7.27,0.8,570",https://www.bbc.com/img/default.jpg,20250204000000-apanews_net-BN-00311,Cooperation verbale,0,0,15,0,Sud,Littoral,Afrique,0.6405,0.6818,2025-02,Tres positif,Neutre
20250210,2025-02-10,Syndicat,BN,010,Declaration publique,1,2.15,7,4,1.98,Cotonou,6.3654,2.4183,24haubenin.com,DIPLOMACY;ELECTIONS,Macky Sall,FMI;PNUD,"Cotonou, Benin","1.98,1.98,0.0,1.98,1.89,342",,20250210000000-24haubenin_com-BN-00312,Cooperation verbale,0,0,28,0,Sud,Littoral,Benin,0.6075,0.5495,2025-02,Neutre,Neutre
20251207,2025-12-07,ONG,BN,170,Coercition,4,-1.54,12,7,-5.74,Abomey-Calavi,6.4484,2.3552,fraternite.bj,ECONOMY;PROTEST;DEMOCRACY,Lionel Zinsou,,"Abomey-Calavi, Benin","-5.74,0.0,5.74,5.74,0.27,551",https://www.rfi.fr/img/placeholder.jpg,20251207000000-fraternite_bj-BN-00313,Conflit materiel,1,1,84,0,Sud,Atlantique,Benin,0.423,0.3565,2025-12,Tres negatif,Leg. negatif
20250504,2025-05-04,Medias,BN,130,Protestation,3,-6.19,23,5,0.37,Porto-Novo,6.4969,2.6289,matinlibre.com,DIPLOMACY;ENVIRONMENT,Patrice Talon;Thomas Boni Yayi,Gouvernement Beninois,"Porto-Novo, Benin","0.37,0.37,0.0,0.37,1.67,730",,20250504000000-matinlibre_com-BN-00314,Conflit verbal,1,0,115,0,Sud,Oueme,Benin,0.1905,0.5092,2025-05,Neutre,Destabilisant
20250226,2025-02-26,Citoyen,BN,110,Rejet/opposition,3,2.34,8,5,-3.1,Cotonou,6.3654,2.4183,fraternite.bj,HUMAN_RIGHTS,Abdoulaye Bio Tchane,PNUD;OMS,"Cotonou, Benin","-3.1,0.0,3.1,3.1,1.43,582",,20250226000000-fraternite_bj-BN-00315,Conflit verbal,1,1,40,0,Sud,Littoral,Benin,0.617,0.4225,2025-02,Negatif,Neutre
20251021,2025-10-21,Gouvernement,BN,050,Appel cooperation,1,-1.87,8,5,3.84,Lokossa,6.6392,1.7153,matinlibre.com,POLITICAL_VIOLENCE;HUMAN_RIGHTS,Abdoulaye Bio Tchane;Macky Sall,,"Lokossa, Benin","3.84,3.84,0.0,3.84,1.56,436",,20251021000000-matinlibre_com-BN-00316,Cooperation verbale,0,0,40,0,Sud,Mono,Benin,0.4065,0.596,2025-10,Positif,Leg. negatif
20250823,2025-08-23,Medias,NG,020,Appel action,1,5.1,12,8,0.73,Natitingou,10.3081,1.3784,bbc.com,ENVIRONMENT;ECONOMY,Thomas Boni Yayi;Macky Sall,Assemblee Nationale;PNUD;Gouvernement Beninois,"Natitingou, Benin","0.73,0.73,0.0,0.73,0.27,455",,20250823000000-bbc_com-BN-00317,Cooperation verbale,0,0,96,1,Nord,Atacora,International,0.755,0.5182,2025-08,Neutre,Stabilisant
20250406,2025-04-06,Institution internationale,BN,020,Appel action,1,3.25,7,1,1.46,Lokossa,6.6392,1.7153,lanouvelletribune.bj,PROTEST;MILITARY,Patrice Talon,,"Lokossa, Benin","1.46,1.46,0.0,1.46,0.16,634",,20250406000000-lanouvelletribune_bj-BN-00318,Cooperation verbale,0,0,7,0,Sud,Mono,Benin,0.6625,0.5365,2025-04,Neutre,Stabilisant
20251115,2025-11-15,ONG,BN,036,Critique politique,1,2.07,4,3,0.78,Parakou,9.337,2.6282,beninwebtv.com,,Lionel Zinsou,PNUD;OMS,"Parakou, Benin","0.78,0.78,0.0,0.78,1.34,181",https://www.rfi.fr/img/placeholder.jpg,20251115000000-beninwebtv_com-BN-00319,Cooperation verbale,0,0,12,1,Nord,Borgou,Benin,0.6035,0.5195,2025-11,Neutre,Neutre
20251209,2025-12-09,Citoyen,BN,060,Cooperation materielle,2,-1.36,12,2,5.81,Cotonou,6.3654,2.4183,matinlibre.com,RELIGION;EDUCATION;ECONOMY;DEVELOPMENT,Alassane Ouattara,UNICEF,"Cotonou, Benin","5.81,5.81,0.0,5.81,1.05,305",,20251209000000-matinlibre_com-BN-00320,Cooperation materielle,0,0,24,0,Sud,Littoral,Benin,0.432,0.6452,2025-12,Tres positif,Leg. negatif
20250512,2025-05-12,Gouvernement,BN,110,Rejet/opposition,3,-5.21,8,4,-5.01,Bohicon,7.1824,2.066,lanouvelletribune.bj,RELIGION,Lionel Zinsou,ONU,"Bohicon, Benin","-5.01,0.0,5.01,5.01,0.16,457",https://www.rfi.fr/img/placeholder.jpg,20250512000000-lanouvelletribune_bj-BN-00321,Conflit verbal,1,1,32,0,Centre,Zou,Benin,0.2395,0.3748,2025-05,Tres negatif,Destabilisant
20250625,2025-06-25,Militaire,BN,100,Demande,1,0.51,4,1,3.51,Cotonou,6.3654,2.4183,24haubenin.com,MILITARY;DEMOCRACY,Alassane Ouattara;Patrice Talon,Gouvernement Beninois;UNICEF,"Cotonou, Benin","3.51,3.51,0.0,3.51,0.63,453",,20250625000000-24haubenin_com-BN-00322,Cooperation verbale,0,0,4,0,Sud,Littoral,Benin,0.5255,0.5878,2025-06,Positif,Neutre
20250221,2025-02-21,Medias,BN,036,Critique politique,1,4.38,4,1,3.98,Porto-Novo,6.4969,2.6289,rfi.fr,PROTEST;TERRORISM;CORRUPTION;DEVELOPMENT,Thomas Boni Yayi,,"Porto-Novo, Benin","3.98,3.98,0.0,3.98,0.96,310",https://www.rfi.fr/img/placeholder.jpg,20250221000000-rfi_fr-BN-00323,Cooperation verbale,0,0,4,0,Sud,Oueme,International,0.719,0.5995,2025-02,Positif,Stabilisant
20250207,2025-02-07,Institution internationale,GH,170,Coercition,4,-4.3,10,3,-3.24,Cotonou,6.3654,2.4183,apanews.net,ELECTIONS;RELIGION;DEMOCRACY,Abdoulaye Bio Tchane;Thomas Boni Yayi,PNUD;OMS,"Cotonou, Benin","-3.24,0.0,3.24,3.24,0.28,760",,20250207000000-apanews_net-BN-00324,Conflit materiel,1,1,30,0,Sud,Littoral,Afrique,0.285,0.419,2025-02,Negatif,Destabilisant
20251209,2025-12-09,Diplomate,BN,110,Rejet/opposition,3,-2.54,12,2,-6.4,Kandi,11.1342,2.9394,fraternite.bj,ENVIRONMENT;ELECTIONS;PROTEST;HUMAN_RIGHTS,Paul Biya;Mahamadou Issoufou,ONU;Gouvernement Beninois,"Kandi, Benin","-6.4,0.0,6.4,6.4,1.62,702",https://www.rfi.fr/img/placeholder.jpg,20251209000000-fraternite_bj-BN-00325,Conflit verbal,1,1,24,1,Nord,Alibori,Benin,0.373,0.34,2025-12,Tres negatif,Leg. negatif
20250105,2025-01-05,Gouvernement,US,060,Cooperation materielle,2,2.49,17,4,1.38,Cotonou,6.3654,2.4183,matinlibre.com,ELECTIONS,Mahamadou Issoufou,Assemblee Nationale,"Cotonou, Benin","1.38,1.38,0.0,1.38,1.33,287",,20250105000000-matinlibre_com-BN-00326,Cooperation materielle,0,0,68,0,Sud,Littoral,Benin,0.6245,0.5345,2025-01,Neutre,Neutre
20250801,2025-08-01,Medias,BN,070,Aide/assistance,2,0.71,23,1,3.84,Ouidah,6.36,2.0852,bbc.com,ELECTIONS;PROTEST;ECONOMY,Paul Biya;Abdoulaye Bio Tchane,Gouvernement Beninois;UNICEF,"Ouidah, Benin","3.84,3.84,0.0,3.84,1.38,204",,20250801000000-bbc_com-BN-00327,Cooperation materielle,0,0,23,0,Sud,Atlantique,International,0.5355,0.596,2025-08,Positif,Neutre
20250430,2025-04-30,Gouvernement,BN,050,Appel cooperation,1,3.92,15,2,-0.62,Lokossa,6.6392,1.7153,apanews.net,TERRORISM;MILITARY;HUMAN_RIGHTS;ECONOMY,,ONU,"Lokossa, Benin","-0.62,0.0,0.62,0.62,1.07,708",,20250430000000-apanews_net-BN-00328,Cooperation verbale,0,1,30,0,Sud,Mono,Afrique,0.696,0.4845,2025-04,Neutre,Stabilisant
